# name,page size,block size,total size,spare size,bad block mark off.,tCS,tCLS,tALS,tCLR,tAR,tWP,tRP,tDS,tCH,tCLH,tALH,tWC,tRC,tREA,row cycles,col. cycles,read 1 cycle com.,read 2 cycle com.,read spare com.,read ID com.,reset com.,write 1 cycle com.,write 2 cycle com.,erase 1 cycle com.,erase 2 cycle com.,status com.,set feat. com.,en. ECC addr,en. ECC val.,dis. ECC val.,ID1,ID2,ID3,ID4,ID5,ID6
K9F2G08U0C, 2048, 131072, 268435456, 64, 0, 20, 12, 12, 10, 10, 12, 12, 12, 5, 5, 5, 25, 25, 20, 3, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 236, 218, 16, 149, 68, -
K9F1G08U0D, 2048, 131072, 134217728, 64, 0, 20, 12, 12, 10, 10, 12, 12, 12, 5, 5, 5, 25, 25, 20, 3, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 236, 241, 0, 149, 64, -
K9F1G08U0E, 2048, 131072, 134217728, 64, 0, 20, 12, 12, 10, 10, 12, 12, 12, 5, 5, 5, 25, 25, 20, 3, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 236, 241, 0, 149, 65, -
H27U1G8F2B, 2048, 131072, 134217728, 64, 0, 20, 12, 12, 10, 10, 12, 12, 12, 5, 5, 5, 25, 25, 20, 3, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 173, 241, 0, 29, -, -
H27U1G8F2C, 2048, 131072, 134217728, 64, 0, 20, 12, 12, 10, 10, 12, 12, 12, 5, 5, 5, 25, 25, 20, 3, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 173, 241, 128, 29, -, -
H27UBG8T2A, 8192, 2097152, 4294967295, 448, 0, 20, 12, 12, 10, 10, 12, 12, 12, 5, 5, 5, 25, 25, 20, 4, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 173, 215, 148, 154, 116, 66
K9GAG08U0E, 8192, 1048576, 2176843776, 436, 0, 25, 15, 15, 10, 10, 15, 15, 15, 5, 5, 5, 30, 30, 25, 3, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 236, 213, 132, 114, 80, 66
K9LBG08U0E/K9HCG08U1E, 8192, 1048576, 2176843776, 436, 0, 25, 15, 15, 10, 10, 15, 15, 15, 5, 5, 5, 30, 30, 25, 3, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 236, 215, 197, 114, 84, 66
K9F4G08U0B, 2048, 131072, 536870912, 64, 0, 20, 12, 12, 10, 10, 12, 12, 12, 5, 5, 5, 25, 25, 20, 3, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 236, 220, 16, 149, 84, 236
K9F1208U0B, 512, 16384, 67108864, 16, 5, 0, 0, 0, 10, 10, 25, 25, 20, 10, 10, 10, 45, 50, 30, 3, 1, 0, -, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 236, 118, 165, 192, -, -
K9G8G08U0A, 2048, 262144, 1073741824, 64, 0, 20, 12, 12, 10, 10, 12, 12, 12, 5, 5, 5, 25, 25, 20, 3, 2, 0, 48, -, 144, 255, 128, 16, 96, 208, 112, -, -, -, -, 236, 211, 20, 165, 100, -
